"FJuanGuevara_Amor_1" "FJuanGuevara_Amor_2" "FJuanGuevara_Amor_3" "SJ_Empeños2_1" "SJ_Empeños2_2" "SJ_Empeños2_3" "SJ_Empeños2_4" "SJ_Empeños2_5" "SJ_Empeños2_6" "SJ_Empeños2_7" "SJ_Empeños2_8" "SJ_Empeños2_9" "SJ_Empeños2_10" "SJ_Empeños2_11" "SJ_Empeños2_12" "SJ_Empeños2_13" "SJ_Empeños2_14" "SJ_Empeños2_15" "SJ_Empeños2_16" "SJ_Empeños2_17" "SJ_Empeños2_18" "SJ_Empeños2_19" "SJ_Empeños2_20" "SJ_Empeños2_21" "SJ_Empeños2_22"
"ahora" 0 0.2 0 0.1 0 0.1 0.1 0 0.2 0.1 0.3 0 0.4 0.3 0.2 0.2 0 0.1 0.1 0.7 0.1 0.2 0.1 0.2 0.2
"ana" 0 0 0 0 0 0 0 0 0 0.3 0 0 0.1 0.1 0.1 0.5 0.1 0 0.2 0.2 0 0.8 0.2 1.1 0.2
"fue" 0.2 0 0.2 0.1 0.1 0.2 0.3 0.5 0 0.2 0.1 0.2 0.1 0.2 0.2 0.1 0.1 0 0 0.1 0 0.5 0.2 0.3 0
"dios" 0.2 0.1 0.2 0 0 0 0 0 0.1 0.1 0 0.1 0 0.1 0 0.3 0.3 0.5 0.2 0.5 0.6 0.3 0 0.1 0
"hacer" 0.2 0.2 0.1 0.2 0.2 0 0.3 0.2 0.1 0.1 0.1 0 0.2 0 0.1 0.1 0.3 0.3 0.1 0.2 0.1 0 0.4 0 0.2
"acaso" 0 0 0.1 1 0.9 0.3 0 0.4 0 0.1 0 0.1 0 0 0.2 0.1 0 0 0 0 0 0.2 0 0.1 0
"ver" 0.4 0 0.5 0 0.1 0.2 0.1 0.1 0 0.1 0.2 0 0.2 0.1 0.1 0 0.1 0 0.2 0.1 0.2 0.4 0.3 0 0.1
"quiero" 0.1 0 0.1 0 0 0 0 0.1 0 0 0.2 0.2 0.3 0.1 0 0.3 0.3 0 0.4 0.3 0.3 0.2 0.2 0.2 0.1
"será" 0 0.2 0.4 0 0.1 0.1 0 0 0.3 0.1 0.1 0.3 0.4 0.2 0.1 0.2 0 0.1 0 0.1 0.2 0.3 0.1 0.1 0
"duda" 0.2 0.1 0.1 0.4 0.1 0 0 0 0 0.3 0 0 0.1 0.1 0 0.1 0 0 0.6 0.2 0.1 0.6 0.1 0.2 0
"sus" 0.3 0.2 0.3 0.1 0.5 0.2 0.1 0.3 0 0.1 0.1 0 0.1 0 0.3 0.1 0 0 0.1 0 0 0 0 0.1 0.3
"dama" 0 0.1 0.1 0 0 0.2 0.3 0 0.2 0.2 0.1 0.3 0 0.4 0.4 0 0 0 0.1 0.3 0 0.2 0 0.1 0.1
